caller,text,act_tag,task1_pred,task2_pred,task3_pred,task4_pred
B,"What are your [ m-, + music  ] interests? /",qw,Request,sv,qw,1
A,"{F Uh, } just about any kind of music except acid rock <static>, /",sd, Statement, o, qy, ^h
B,<Laughter>.,x, Laughter, sd, x, 3
A,"[ I, + I  ] don't care,",sd, Agreement, b, ng, sv
B,"Me, too. /",aa, Statement, sv, qw, 3
A,"for acid rock, /",+, Statement, sd, na, sd
B,Oh. /,b, Acknowledgment, o, ng, 3
A,"{C but, } {F uh, } I grew up with country and western, /",sd, Statement, b, sv, sv
B,"Yeah,  /",b, Agreement, sv, sv, 3
B,"I did, too, /",sd, Agreement, sv, sd, sv
A,"{C but, } {F uh, } -/",%, Statement, qw, sd, 3
B,"{C and then, } -/",%, Agreement, sd, sd, sv
A,just about any kind of music.  /,sd, Statement, sd, sd, ^h
A,I even like classical music. /,sd, Statement, na, sv^e, qw
B,"Yeah,  /",b, Agreement, sd, sd^e, 3
B,"{F uh, } I'm pretty diversified, too.  /",sd, Statement, sd, qy^g, sv
B,"[ [ I, + I  ] don't, + I don't  ] like acid rock either.  /",sd, Statement, sd, qw, 6
B,"[ I, + <sniffing> I  ] grew up in a small town  /",sd, Statement, qw, qy, sv
B,"{C so, } {F uh, } [ the only, + <static> we only  ] had one radio station  /",sd, Agreement, sv, qw, 3
B,"{C so } it was country music, /",sd, Agreement, sv, qh, sv
A,Yeah. /,b, Agreement, sd, qy, 3
B,"{C but then, } {F uh, } when I, -/",%, Acknowledgment, sd, qw, sv
A,"Yeah,  /",b^r, Acknowledgment, sd, sv, 3
A,"I grew up with Hank Snow, and (( Lefty Frizzell ))  </static> and Hank Williams and all of those old country and western songs. /",sd, Statement, b, qw, sv
B,"</Static> {F Oh, } really.  /",b, Agreement, qy^d, hv, 6
B,You're older than I am <laughter>. /,sd, Statement, b^m, sd, sd
A,"<Laughter> {C But, } {F uh, } I, - /",%, Agreement, sd^e, sd, 6
A,did you happen to see last night the special on Channel Two with James Galway? /,qy, Statement, sd, sd, sv
B,We don't get Channel Two.  /,ng, Statement, qw, +, qw
B,"[ My, +",sd, Agreement, sv, ad, qw
A,Oh. /,b, Statement, sv, ad, ^h
B,"{F uh, } our  ] cable doesn't,  /",+, Agreement, sd, qy, ^h
B,"I wish we got that what, - /",sd, Statement, sd, qw, qw
B,"{C but, } -/",%, Acknowledgment, h, sd, qw
A,That is fabulous. /,sv, Statement, sd, qy, 3
B,Was it?  /,qy, Statement, sv, na, sv
B,"{D Well, }",sd, Acknowledgment, sd, no, 3
A,"We, -/",%, Laughter, sd, sd, sv
B,we don't get Channel Two. /,+, Statement, qw, sd^e, sd
A,"Yeah,  /",ny, Laughter, sv, sd, sd
A,"when he played DANNY BOY it just almost brought,",sd^e, Statement, sv^e, qy, 3
B,<Laughter>.,x, Acknowledgment, sv, sd^e, sv
A,"tears to your eyes, because he can make that flute sing. /",+, Acknowledgment, sv, sd, 3
B,"{F Oh, } really? /",bh, Laughter, sd, na, sv
A,"Yeah,  /",ny, Acknowledgment, sd, sd, 2
A,"{C and, } {F uh, } it was tremendous. /",sv^e, Statement, na, sd, sv
B,"{D Now, } [ he, + he ] is a, {F uh, } - /",%, Statement, b^m, sv, sv
B,"actually, I did,  /",sd, Statement, sd, sd, 3
B,"I played flute for,",sd, Acknowledgment, sd, sd, sv
A,Yeah. /,b, Agreement, sd^m, sd, 3
B,almost ten years  /,+, Agreement, sd, qy, sv
B,"[ [ {C and, } + {C and, } ] + {F uh, } {C so, } ] [ [ I, + I, ] + I ] appreciate his too,",sd, Statement, b^m, sd, 3
A,Yeah. /,b, Statement, sv, sd, sv
B,"[ his,  + his  ] mus-, - /",+, Statement, sd, sd, 3
B,"[ [ he, + he,  ] + he's  ] from Ireland isn't he? /",qy^g, Agreement, sd, sd, sv
A,"Yeah,  /",ny, Statement, sd, sv, 3
A,"uh-huh,  /",ny, Statement, sd, sv, sv
A,"{C and } it was, {F uh, } mostly all Irish tunes, /",sd^e, Statement, qw, sv, 3
